Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha),Temperatura
2009,RISARALDA,PLATANO,20553,"167219,5","8,14","6,42","6,18","20,2"
2009,ANTIOQUIA,BANANO,1024,"10952,5","10,7","5,06","4,77",22.6
2009,CALDAS,BANANO,421,5254,"12,48","2,43","1,96",19.6
2009,RISARALDA,AGUACATE,553,6515,"11,78","3,45","2,87","20,2"
2009,RISARALDA,CACAO,1085,"623,7","0,57","1,07","0,99","20,2"
2009,RISARALDA,YUCA,169,2963,"17,53","0,15","0,09","20,2"
2009,RISARALDA,CAÑA PANELERA,"3978,4","26258,9","6,6","2,19","2,04","20,2"
2009,RISARALDA,FLORES Y FOLLAJES,277,"3885,7","14,03","62,1","68,02","20,2"
2009,ANTIOQUIA,PLATANO,"40621,8","247125,4","6,08","9,49","12,22",22.6
2009,CALDAS,PLATANO,16275,"189350,4","11,63","7,27","4,9",19.6
2009,ANTIOQUIA,AGUACATE,2376,23115,"9,73","12,23","12,34",22.6
2009,CALDAS,AGUACATE,"954,4","8326,5","8,72","4,4","4,96",19.6
2009,ANTIOQUIA,CACAO,"8081,6","3808,1","0,47","6,52","7,39",22.6
2009,CALDAS,CACAO,"1354,7","751,34","0,55","1,29","1,24",19.6
2009,ANTIOQUIA,YUCA,9266,"132597,1","14,31","6,8","5,13",22.6
2009,CALDAS,YUCA,592,14113,"23,84","0,72","0,33",19.6
2009,ANTIOQUIA,CAÑA PANELERA,"38396,3","161785,5","4,21","13,5","19,71",22.6
2009,CALDAS,CAÑA PANELERA,"9642,7",45472,"4,72","3,8","4,95",19.6
2010,CALDAS,FRIJOL,"2406,43","3032,82","1,26","2,72","2,45",19.3
2010,ANTIOQUIA,BANANO,"1149,5","11405,2","9,92","4,72","4,19",22.3
2010,CALDAS,BANANO,"823,5",9065,"11,01","3,75",3,19.3
2010,RISARALDA,FRIJOL,"739,5","971,93","1,31","0,87","0,75",20
2010,RISARALDA,BANANO,829,14186,"17,11","5,87","3,02",20
2010,RISARALDA,PLATANO,20340,"168333,2","8,28","5,95","5,78",20
2010,RISARALDA,AGUACATE,984,9112,"9,26","4,44","4,56",20
2010,RISARALDA,CACAO,"1037,75","508,9","0,49","0,74","0,82",20
2010,RISARALDA,YUCA,"68,6","1131,6","16,5","0,06","0,04",20
2010,RISARALDA,CAÑA PANELERA,"3994,5","26477,2","6,63","2,16","2,01",20
2010,RISARALDA,FLORES Y FOLLAJES,"286,56","3886,34","13,56","67,18","67,26",20
2010,ANTIOQUIA,PLATANO,"41573,42","251972,24","6,06","8,91","11,82",22.3
2010,CALDAS,PLATANO,"19241,7","240978,25","12,52","8,52","5,47",19.3
2010,ANTIOQUIA,AGUACATE,"2907,2","28819,25","9,91","14,03","13,47",22.3
2010,CALDAS,AGUACATE,"1340,7","12134,1","9,05","5,91","6,21",19.3
2010,ANTIOQUIA,CACAO,9905,"5230,2","0,53","7,65","7,82",22.3
2010,CALDAS,CACAO,"2159,5","1518,55","0,7","2,22","1,7",19.3
2010,ANTIOQUIA,YUCA,"9105,5","129353,1","14,21","7,43","5,55",22.3
2010,CALDAS,YUCA,"790,3","18032,35","22,82","1,04","0,48",19.3
2010,ANTIOQUIA,CAÑA PANELERA,"39182,1",162647,"4,15","13,27","19,72",22.3
2010,CALDAS,CAÑA PANELERA,"9670,3",43213,"4,47","3,53","4,87",19.3
2010,ANTIOQUIA,FLORES Y FOLLAJES,26,"117,7","4,53","2,03","6,1",22.3
2011,CALDAS,FRIJOL,"1998,5","2987,88","1,5","2,87","2,15",19.5
2011,ANTIOQUIA,BANANO,"1181,5","14655,25","12,4","4,95","4,18",22.5
2011,CALDAS,BANANO,"768,75",9235,"12,01","3,12","2,72",19.5
2011,RISARALDA,FRIJOL,"739,4","828,21","1,12","0,8","0,8","20,1"
2011,RISARALDA,BANANO,920,"15333,7","16,67","5,18","3,26","20,1"
2011,RISARALDA,PLATANO,"20594,17","173849,75","8,44","6,09","5,78","20,1"
2011,RISARALDA,AGUACATE,"995,81","8920,85","8,96","4,15","4,06","20,1"
2011,RISARALDA,CACAO,"998,75","477,33","0,48","0,64","0,75","20,1"
2011,ANTIOQUIA,PLATANO,"41352,7","254594,14","6,16","8,92","11,6",22.5
